Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
bitcoin,"$100,654.56",1.16%,3.15%,0.96%,"$2T$1,995,738,710,222","$115,900,395,2121,150,984 BTC","19,819,281 BTC"
ethereum,"$2,743.51",0.71%,6.70%,10.74%,"$330.93B$330,926,454,599","$94,940,457,19734,577,717 ETH","120,524,819 ETH"
xrp,$2.74,3.02%,5.65%,6.19%,"$157.86B$157,856,629,661","$38,846,893,68414,200,295,258 XRP","57,703,732,191 XRP"
tether,$1.00,0.03%,0.26%,0.21%,"$139.63B$139,633,437,487","$298,589,345,475298,088,555,746 USDT","139,399,246,307 USDT"
solana,$214.00,2.68%,8.75%,5.95%,"$104.21B$104,210,669,700","$16,230,109,02175,841,001 SOL","486,961,704 SOL"
bnb,$605.77,1.69%,1.27%,8.49%,"$86.31B$86,310,878,503","$4,076,723,9736,729,784 BNB","142,480,475 BNB"
usdc,$0.9998,0.00%,0.01%,0.01%,"$54.32B$54,321,267,076","$26,726,113,36126,731,125,601 USDC","54,331,454,537 USDC"
dogecoin,$0.2779,2.43%,3.80%,13.76%,"$41.11B$41,107,441,975","$11,342,947,18840,809,482,010 DOGE","147,895,726,384 DOGE"
cardano,$0.7976,3.22%,0.42%,12.04%,"$28.06B$28,063,076,947","$4,796,717,9316,014,186,157 ADA","35,185,844,017 ADA"
tron,$0.2282,0.73%,0.83%,5.92%,"$19.65B$19,653,267,170","$2,128,339,0159,326,293,520 TRX","86,119,803,716 TRX"
